"","lat","long","x"
"305",32.041565,-92.1354309,1
"306",30.209252,-91.995341,1
"307",30.9842977,-91.9623327,3
"308",35.20105,-91.8318334,1
"309",37.9642529,-91.8318334,1
"310",33.057837,-91.5705695,1
"311",41.6611277,-91.5301683,2
"312",30.4582829,-91.1403196,4
"313",37.7153239,-91.1351341,1
"314",30.3592421,-91.023414,1
"315",38.8140693,-90.8889788,1
"316",29.5957696,-90.7195348,1
"317",42.4954815,-90.6565839,1
"318",43.9888339,-90.5197148,1
"319",45.1385798,-90.3401404,1
"320",38.6142741,-90.3143576,1
"321",38.5777672,-90.2731783,1
"322",29.9922012,-90.2590112,1
"323",38.7510941,-90.2542666,1
"324",38.6270025,-90.1994042,8
"325",29.9244148,-90.0937226,1
"326",42.2256252,-90.0836146,1
"327",29.948954,-90.0743769,1
"328",29.9510658,-90.0715323,11
"329",29.9579735,-90.0637281,1
"330",35.1495343,-90.0489801,2
"331",35.132071,-89.864854,1
"332",37.7242202,-89.8612196,1
"333",33.7690049,-89.8084192,1
"334",34.3664951,-89.5192484,3
"335",38.3625705,-89.508918,1
"336",30.4692015,-89.4311847,1
"337",43.0730517,-89.4012302,2
"338",32.3546679,-89.3985283,1
"339",40.6331249,-89.3985283,6
"340",36.790498,-89.2833094,1
"341",37.7136372,-89.2179628,1
"342",44.155342,-89.1665395,1
"343",30.3674198,-89.0928155,1
"344",41.7680851,-88.8770311,1
"345",43.7844397,-88.7878678,2
"346",42.726053,-88.5424226,1
"347",35.4686868,-88.5208825,1
